title,description,link,provider,ranking,provider_category,category,subcategory,level,hours_to_complete,num_subtitles,subscribers,log_subscribers
Methods of Surface Analysis,"There is a vast variety of contemporary surface analysis methods that you can use for your research. If you are not sure which one is right for you, or if you want to obtain the right information about different surface analysis techniques, then this course is for you!",https://www.coursera.org/learn/methods-surface-analysis,National Research Nuclear University MEPhI,314,Other university,Physical Science and Engineering,Research Methods,Intermediate Level,21,2,4496,8.410943392
Global Disease Masterclass: Global Disease Distribution,"The Global Diseases Masterclass is part of the full-degree Masters of Public Health that the School of Public Health. By the end of this specialisation, our aim is that students will be able to critically apply epidemiological concepts to major global diseases and be able to appraise and recommend policy options to combat them.",https://www.coursera.org/learn/global-disease-distribution,Imperial College London,8,QS 100 University,Health,Public Health,Beginner Level,12,1,3928,8.275885669
Demand management: Breaking down today?Ä?????s commercial silos,"The biggest challenge facing the hospitality industry over the next 5 years is the lack of integration between the key commercial disciplines of sales, revenue, distribution and finance and the negative impact this will continue to have on delivering asset value and maximum profitability.",https://www.coursera.org/learn/demandmanagement,ESSEC Business School,33,Other university,Business,Business Strategy,Unknown Level,14,5,9605,9.170039075
Engineering Design Process with Autodesk Fusion 360,"This course provides a deeper exploration of mechanical assemblies and simulation, which are key engineering features of the design and manufacturing process. The foundation of engineering design is exploration and iteration. Design is rarely a perfectly linear and straightforward process. In this course, we'll explore mechanical assembly design and simulation, focusing on testing and improving design components and performance. As we move through design assumptions, testing, and refining design ideas, we'll come closer to a final design, while developing a deeper knowledge in Autodesk???? Fusion 360?Ä????? for simulating and analyzing product functionality.",https://www.coursera.org/learn/engineering-design-process-fusion-360,Autodesk,1500,Company,Physical Science and Engineering,Mechanical Engineering,Advanced Level,15,1,14694,9.595194526
U.S. Federal Taxation Capstone,"The Capstone is the culminating project in the US Federal Tax Specialization. You will have the opportunity to combine the concepts and techniques obtained through all the courses in this specialization (Federal Taxation I: Individuals, Employees and Sole Proprietors, Federal Taxation II: Property Transactions of Business Owners and Shareholders, Taxation of Business Entities I: Corporations, and Taxation of Business Entities II: Pass-Through Entities) and apply them to a real world tax project. The Capstone project will be 3 weeks long. You must take the Capstone project class after taking all the other courses in this Specialization.",https://www.coursera.org/learn/us-federal-tax-capstone,University of Illinois at Urbana-Champaign,82,QS 100 University,Business,Business Essentials,Intermediate Level,6,1,2176,7.685243608
iOS App Store & In-App Purchases,"This course teaches basics of monetization on iOS, starting with in-app ads and then moving to in-app purchases. You will learn more advanced in-app purchase integrations, and you'll make both consumable and non-consumable purchases while building a realistic iOS app. Finally, you will learn how to take your apps even further with in-app subscriptions, and how to start and cancel subscriptions and create a delightful user experience.",https://www.coursera.org/learn/ios-swift-app-store-in-app-purchase,LearnQuest,1500,Company,Computer Science,Mobile and Web Development,Advanced Level,11,1,4667,8.448271746
The Cosmopolitan Medieval Arabic World,"Did you know that Arabic was for centuries the lingua franca in an area stretching from the south of Spain to the Chinese border? Did you know that the Middle East under Muslim rule in those days was the world?Ä?????s beating heart of trade, but also of science and scholarship?",https://www.coursera.org/learn/medieval-arabia,Universiteit Leiden,128,Other university,Arts and Humanities,History,Beginner Level,27,5,15490,9.647949933
Publishing Visualizations in R with Shiny and flexdashboard,"Data visualization is a critical skill for anyone that routinely using quantitative data in his or her work - which is to say that data visualization is a tool that almost every worker needs today. One of the critical tools for data visualization today is the R statistical programming language. Especially in conjunction with the tidyverse software packages, R has become an extremely powerful and flexible platform for making figures, tables, and reproducible reports. However, R can be intimidating for first time users, and there are so many resources online that it can be difficult to sort through without guidance.",https://www.coursera.org/learn/data-viz-shiny-dashboards,Johns Hopkins University,25,QS 100 University,Data Science,Data Analysis,Unknown Level,12,1,1787,7.488293515
What does it mean to identify as Transgender or Gender Non-Conforming (TGNC)?,"In the last decade transgender and gender nonconforming (TGNC) individuals have become increasingly visible in our families, culture, and public discourse. This course explores the concept of gender identity for people who are curious about the nature of gender, the process of gender affirmation, or changing social dynamics. Participants will learn the unique challenges faced by the TGNC population as well as develop the skills to build inclusive spaces in all spheres of their life. This course was developed under the Joycelyn Elders Chair in Sexual Health Education at the University of Minnesota.",https://www.coursera.org/learn/tgnc-gender-identity-social-change,University of Minnesota,177,Other university,Personal Development,Personal Development,Beginner Level,27,1,6801,8.824824939
Introduction to Automated Analysis,"This course introduces state-of-the-art techniques for automated analysis.  Automated analysis encompasses both approaches to automatically generate a very large number of tests to check whether programs meet requirements, and also means by which it is possible to *prove* that software meets requirements and that it is free from certain commonly-occurring defects, such as divide-by-zero, overflow/underflow, deadlock, race-condition freedom, buffer/array overflow, uncaught exceptions, and several other commonly-occurring bugs that can lead to program failures or security problems.  The learner will become familiar with the fundamental theory and applications of such approaches, and apply a variety of automated analysis techniques on example programs.",https://www.coursera.org/learn/automated-analysis,University of Minnesota,177,Other university,Computer Science,Software Development,Intermediate Level,19,1,5787,8.663369302
Calculus and Optimization for Machine Learning,Hi! Our course aims to provide necessary background in Calculus sufficient for up-following Data Science courses.,https://www.coursera.org/learn/calculus-and-optimization-for-machine-learning,National Research University Higher School of Economics,1500,Other university,Math and Logic,Math and Logic,Intermediate Level,32,1,17587,9.774915272
The Development of Mobile Health Monitoring Systems,"This join course created by SPSU and ETU  includes 5 modules dedicated to different stages of the system development. Its modules represent several widely separated fields of biomedical engineering. We interconnect them by applying the knowledge from them all to a common task ?Ä????? the development of a prototype of an mHealth ECG system with built-in data-driven signal processing and analysis. Working on this task throughout the course, you will acquire a knowledge on how these branches of science, including electronics, mathematics, data science and programming are applied together in a real project. Pieces of hardware and software, as well as the data sets that we utilize in this course are the same components that we use in our work developing prototypes of devices and algorithms for our tasks in science and engineering.",https://www.coursera.org/learn/mobile-health-monitoring-systems,Saint Petersburg State University,225,Other university,Computer Science,Design and Product,Intermediate Level,21,1,6390,8.762489547
Data Science Methodology,"Despite the recent increase in computing power and access to data over the last couple of decades, our ability to use the data within the decision making process is either lost or not maximized at all too often, we don't have a solid understanding of the questions being asked and how to apply the data correctly to the problem at hand.",https://www.coursera.org/learn/data-science-methodology,IBM,42,Company,Data Science,Data Analysis,Beginner Level,10,2,160377,11.98528257
Executive Data Science Capstone,,https://www.coursera.org/learn/executive-data-science-capstone,Johns Hopkins University,25,QS 100 University,Business,Leadership and Management,Unknown Level,2,6,13383,9.501740524
FPGA computing systems: Background knowledge and introductory materials,"This course is for anyone passionate in learning how a hardware component can be adapted at runtime to better respond to users/environment needs. This adaptation can be provided by the designers, or it can be an embedded characteristic of the system itself. These runtime adaptable systems will be implemented by using FPGA technologies.",https://www.coursera.org/learn/fpga-intro,Politecnico di Milano,137,Other university,Computer Science,Design and Product,Beginner Level,46,5,11569,9.356084386
Hypothesis Testing in Public Health,"Biostatistics is an essential skill for every public health researcher because it provides a set of precise methods for extracting meaningful conclusions from data. In this second course of the Biostatistics in Public Health Specialization, you'll learn to evaluate sample variability and apply statistical hypothesis testing methods. Along the way, you'll perform calculations and interpret real-world data from the published scientific literature. Topics include sample statistics, the central limit theorem, confidence intervals, hypothesis testing, and p values.",https://www.coursera.org/learn/hypothesis-testing-public-health,Johns Hopkins University,25,QS 100 University,Health,Public Health,Beginner Level,19,1,10446,9.253974409
"GIS Data Formats, Design and Quality","In this course, the second in the Geographic Information Systems (GIS) Specialization, you will go in-depth with common data types (such as raster and vector data), structures, quality and storage during four week-long modules:",https://www.coursera.org/learn/gis-data,"University of California, Davis",112,Other university,Physical Science and Engineering,Environmental Science and Sustainability,Intermediate Level,28,5,32701,10.39516094
Bayesian Statistics: From Concept to Data Analysis,"This course introduces the Bayesian approach to statistics, starting with the concept of probability and moving to the analysis of data. We will learn about the philosophy of the Bayesian approach as well as how to implement it for common types of data. We will compare the Bayesian approach to the more commonly-taught Frequentist approach, and see some of the benefits of the Bayesian approach. In particular, the Bayesian approach allows for better accounting of uncertainty, results that have more intuitive and interpretable meaning, and more explicit statements of assumptions. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. For computing, you have the choice of using Microsoft Excel or the open-source, freely available statistical package R, with equivalent content for both options. The lectures provide some of the basic mathematical development as well as explanations of philosophy and interpretation. Completion of this course will give you an understanding of the concepts of the Bayesian approach, understanding the key differences between Bayesian and Frequentist approaches, and the ability to do basic data analyses.",https://www.coursera.org/learn/bayesian-statistics,"University of California, Santa Cruz",416,Other university,Data Science,Probability and Statistics,Intermediate Level,12,5,124453,11.73168341
Battery State-of-Charge (SOC) Estimation,"This course can also be taken for academic credit as ECEA 5732, part of CU Boulder?Ä?????s Master of Science in Electrical Engineering degree.",https://www.coursera.org/learn/battery-state-of-charge,University of Colorado Boulder,230,Other university,Physical Science and Engineering,Electrical Engineering,Intermediate Level,28,1,9031,9.108418382
What is news?,"This course will guide you through the basic elements of professional journalism and the news values and ethics of covering real-world issues and events. The overview and examples of the types of news coverage helps introduce the different types of journalism, such as social media, multimedia, print, visual and broadcast, and how professional journalists effectively use each format.",https://www.coursera.org/learn/what-is-news,Michigan State University,157,Other university,Arts and Humanities,Music and Art,Unknown Level,16,7,31987,10.37308485
Graphic Design,"Welcome to Graphic Design, the second course in the Effective Communications Specialization. Over 70 different companies have provided this specialization to their employees as a resource for internal professional development. Why? Because employers know that effective visual communication is the key to attracting an audience, building a relationship, and closing the sale.",https://www.coursera.org/learn/presentation-design,University of Colorado Boulder,230,Other university,Business,Business Essentials,Beginner Level,27,4,106929,11.57992034
Geodesign: Change Your World,"What happens when creativity and science come together?  The power to design our world is unleashed, providing tools to inform choices about how we live!  Geodesign is the glue?Ä?????it?Ä?????s a process that deploys creativity to connect information to people, using collaboration to better inform how we design our world.",https://www.coursera.org/learn/geodesign,The Pennsylvania State University,101,Other university,Physical Science and Engineering,Environmental Science and Sustainability,Beginner Level,11,2,6213,8.73439915
Think Again II: How to Reason Deductively,"Deductive arguments are supposed to be valid in the sense that the premises guarantee that the conclusion is true. In this course, you will learn how to use truth-tables and Venn diagrams to represent the information contained in the premises and conclusion of an argument so that you can determine whether or not the argument is deductively valid.",https://www.coursera.org/learn/deductive-reasoning,Duke University,42,QS 100 University,Personal Development,Personal Development,Beginner Level,13,4,37568,10.5339079
Python Basics,"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.",https://www.coursera.org/learn/python-basics,University of Michigan,21,QS 100 University,Computer Science,Software Development,Beginner Level,36,7,277514,12.53362666
Modern Art & Ideas,"Welcome to Modern Art & Ideas! This course is designed for anyone interested in learning more about modern and contemporary art. Over the next five weeks, you will look at art through a variety of themes: Places & Spaces, Art & Identity, Transforming Everyday Objects, and Art & Society. Each week kicks off with a video that connects works of art from The Museum of Modern Art?Ä?????s collection to the theme. You will hear audio interviews with artists, designers, and curators and learn more about selected works in the additional readings and resources.",https://www.coursera.org/learn/modern-art-ideas,The Museum of Modern Art,1500,Company,Arts and Humanities,Music and Art,Beginner Level,13,7,396637,12.89077678
Regression Models,"Linear models, as their name implies, relates an outcome to a set of predictors of interest using linear assumptions.  Regression models, a subset of linear models, are the most important statistical analysis tool in a data scientist?Ä?????s toolkit. This course covers regression analysis, least squares and inference using regression models. Special cases of the regression model, ANOVA and ANCOVA will be covered as well. Analysis of residuals and variability will be investigated. The course will cover modern thinking on model selection and novel uses of regression models including scatterplot smoothing.",https://www.coursera.org/learn/regression-models,Johns Hopkins University,25,QS 100 University,Data Science,Probability and Statistics,Unknown Level,54,7,131010,11.78302894
Demand Analytics,Welcome to Demand Analytics - one of the most sought-after skills in supply chain management and marketing!,https://www.coursera.org/learn/demand-analytics,Rutgers the State University of New Jersey,258,Other university,Business,Business Essentials,Beginner Level,9,1,10795,9.286838343
Python Programming: A Concise Introduction,"The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.",https://www.coursera.org/learn/python-programming-introduction,Wesleyan University,1500,Other university,Computer Science,Software Development,Beginner Level,18,1,198132,12.19668875
Managing Change when Moving to Google Cloud,"Moving to the cloud creates numerous opportunities to start working in a new way and it empowers the workforce to better collaborate and innovate. But it?Ä?????s also a big change. Sometimes the success of the change hinges not on the change itself, but on how it?Ä?????s managed. This course will help people managers to understand some of the key challenges associated with cloud adoption, and provide them with a verified in-the-field framework that will assist them in supporting their teams on the change journey. By addressing the human factor of moving to the cloud, organizations increase their chances of realizing business objectives and investing in their future talent.",https://www.coursera.org/learn/managing-change-when-moving-to-google-cloud,Google Cloud,9,Company,Information Technology,Cloud Computing,Beginner Level,1,1,2229,7.709308333
Business intelligence and data warehousing,"Welcome to the specialization course Business Intelligence and Data Warehousing. This course will be completed on six weeks, it will be supported with videos and various documents that will allow you to learn in a very simple way how to identify, design and develop analytical information systems, such as Business Intelligence with a descriptive analysis on data warehouses. You will be able to understand the problem of integration and predictive analysis of high volume of unstructured data (big data) with data mining and the Hadoop framework.",https://www.coursera.org/learn/business-intelligence-data-warehousing,Universidad Nacional Aut??noma de M??xico,100,QS 100 University,Data Science,Data Analysis,Intermediate Level,10,1,9883,9.198571388
Supervised Machine Learning: Classification,"This course introduces you to one of the main types of modeling families of supervised Machine Learning: Classification. You will learn how to train predictive models to classify categorical outcomes and how to use error metrics to compare across different models. The hands-on section of this course focuses on using best practices for classification, including train and test splits, and handling data sets with unbalanced classes.",https://www.coursera.org/learn/supervised-learning-classification,IBM,42,Company,Data Science,Machine Learning,Intermediate Level,11,1,5801,8.665785595
Effective Altruism,Effective altruism is built on the simple but unsettling idea that living a fully ethical life involves doing the most good one can. In this course you will examine this idea's philosophical underpinnings; meet remarkable people who have restructured their lives in accordance with it; and think about how effective altruism can be put into practice in your own life.,https://www.coursera.org/learn/altruism,Princeton University,12,QS 100 University,Arts and Humanities,Philosophy,Beginner Level,12,6,47464,10.76772681
Foundations of Health Equity Research,"Introduces students to the core principles of health equity research. Covers topics such as defining health equity, engaging community and policy stakeholders, patient-centeredness, cultural competence, and dissemination of research findings. Content will recognize different geographic, cultural, and social contexts where health inequities occur.",https://www.coursera.org/learn/health-equity-research,Johns Hopkins University,25,QS 100 University,Health,Public Health,Beginner Level,15,1,3460,8.149023868
Queering Identities: LGBTQ+ Sexuality and Gender Identity,"In this course, you will explore the history of LGBTQ identities, experiences, and activism. We?Ä?????ll study major events in global LGBTQ history, investigate local histories of queer and transgender people and communities, and consider how LGBTQ histories have helped shape broader conversations about civil rights, equality, and justice.",https://www.coursera.org/learn/queeringidentities,University of Colorado System,230,Other university,Social Sciences,Education,Beginner Level,20,2,17170,9.750918954
International Marketing Entry and Execution,"This will be part 2 of a two-series foundation courses for the Specialization: International Marketing & Cross Industry Growth. This course will dive in more deeply into consumer science investigation, B2C marketing, International Marketing Entry, Targeting, Positioning, International Product, International Promotion, International Place and International Price. The last set of classes will discuss seven new ways to innovate in International Marketing that all start with the letter ""S"" and hence will be called the 7S International Marketing Innovation. There will be a heavy emphasis on how companies can incorporate CCCI Innovation, i.e. Cross Country and Cross Industry Innovation in marketing.",https://www.coursera.org/learn/international-marketing-entry-execution,Yonsei University,85,QS 100 University,Business,Marketing,Unknown Level,9,4,8030,8.990939807
Viral Marketing and How to Craft Contagious Content,"Ever wondered why some things become popular, and other don't? Why some products become hits while others flop?  Why some ideas take off while others languish? What are the key ideas behind viral marketing? This course explains how things catch on and helps you apply these ideas to be more effective at marketing your ideas, brands, or products. You'll learn how to make ideas stick, how to increase your influence, how to generate more word of mouth, and how to use the power of social networks to spread information and influence. Drawing on principles from his best-selling book, ""Contagious: Why Things Catch On,"" Professor Jonah Berger illustrates successful strategies for you to use buzz to create virality so that your campaigns become more shareable on social media and elsewhere. By the end of this course, you'll have a better understanding of how to craft contagious content, build stickier messages, and get  any product, idea, or behavior to catch on.",https://www.coursera.org/learn/wharton-contagious-viral-marketing,University of Pennsylvania,16,QS 100 University,Business,Marketing,Unknown Level,4,1,219058,12.29709181
Measure and Optimize Social Media Marketing Campaigns,"This course provides you with the skills to optimize your social media marketing efforts. Learn to evaluate and interpret the results of your advertising campaigns. Learn how to assess advertising effectiveness through lift studies and optimize your campaigns with split testing. Understand how advertising effectiveness is measured across platforms and devices, learn how to evaluate the ROI of your marketing, and master how to communicate your social media marketing results to others in the company.",https://www.coursera.org/learn/measure-and-optimize-social-media-marketing-campaigns,Facebook,86,Company,Business,Marketing,Beginner Level,2,1,14314,9.568993358
Modernizing Data Lakes and Data Warehouses with GCP,"The two key components of any data pipeline are data lakes and warehouses. This course highlights use-cases for each type of storage and dives into the available data lake and warehouse solutions on Google Cloud Platform in technical detail. Also, this course describes the role of a data engineer, the benefits of a successful data pipeline to business operations, and examines why data engineering should be done in a cloud environment. Learners will get hands-on experience with data lakes and warehouses on Google Cloud Platform using QwikLabs.",https://www.coursera.org/learn/data-lakes-data-warehouses-gcp,Google Cloud,9,Company,Information Technology,Cloud Computing,Intermediate Level,9,2,32664,10.39402883
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,"Design for manufacturing is the process of designing parts, components, or products with the understanding surrounding design requirements for a specific manufacturing method.",https://www.coursera.org/learn/mechanical-engineering-design-manufacturing,Autodesk,1500,Company,Physical Science and Engineering,Mechanical Engineering,Intermediate Level,17,1,52875,10.87568592
Chemerinsky on Constitutional Law ?Ä????? Individual Rights and Liberties,"Chemerinsky on Constitutional Law: Individual Rights and Liberties will highlight the construction and interpretation of the U.S. Constitution through the centuries with an emphasis on protections of individual liberties and the evolution of equal protection. You'll learn the history behind the Constitution, cases that formed important precedent, and how changes in interpretation have been dependent on shifts in cultural and political climate as well as the composition of the Supreme Court.",https://www.coursera.org/learn/chemerinsky-individual-rights,"University of California, Irvine",210,Other university,Social Sciences,Law,Beginner Level,17,2,8608,9.060447282
Statistics for Data Science with Python,"This Statistics for Data Science course is designed to introduce you to the basic principles of statistical methods and procedures used for data analysis. After completing this course you will have practical knowledge of crucial topics in statistics including  - data gathering, summarizing data using descriptive statistics, displaying and visualizing data, examining relationships between variables, probability distributions, expected values, hypothesis testing, introduction to ANOVA (analysis of variance), regression and correlation analysis. You will take a hands-on approach to statistical analysis using Python and Jupyter Notebooks ?Ä????? the tools of choice for Data Scientists and Data Analysts.",https://www.coursera.org/learn/statistics-for-data-science-python,IBM,42,Company,Data Science,Probability and Statistics,Unknown Level,12,1,8628,9.062768008
Contact Center AI: Conversational Design Fundamentals,"Welcome to ""CCAI Conversational Design Fundamentals"", the first course in the ""Customer Experiences with Contact Center AI"" series.",https://www.coursera.org/learn/contact-center-ai-conversational-design-fundamentals,Google Cloud,9,Company,Information Technology,Cloud Computing,Intermediate Level,9,1,2403,7.784473236
Cryptography,"This course will introduce you to the foundations of modern cryptography, with an eye toward practical applications.",https://www.coursera.org/learn/cryptography,"University of Maryland, College Park",152,Other university,Computer Science,Computer Security and Networks,Unknown Level,18,5,53960,10.89599831
"Drugs, drug use, drug policy and health","This MOOC is the first of its kind, since it addresses critical issues related to drugs from a multidisciplinary, health and human rights-based approach. Throughout the course you will cover a range of questions including what are drugs and why they controlled? What are the benefits and harms of taking drugs? How public health policies can address drug use?",https://www.coursera.org/learn/drugs,University of Geneva,106,QS 100 University,Health,Public Health,Beginner Level,28,5,24055,10.08809815
Fundamentals of Music Theory,"This course will introduce students to the theory of music, providing them with the skills needed to read and write Western music notation, as well as to understand, analyse, and listen informedly. It will cover material such as pitches and scales, intervals, clefs, rhythm, form, meter, phrases and cadences, and basic harmony.",https://www.coursera.org/learn/edinburgh-music-theory,The University of Edinburgh,20,QS 100 University,Arts and Humanities,Music and Art,Beginner Level,7,3,261495,12.47417044
Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,"In their ambition to capture ?Ä?????real life,?Ä????? Japanese painters, poets, novelists and photographers of the nineteenth century collaborated in ways seldom explored by their European contemporaries. This course offers learners the chance to encounter and appreciate behavior, moral standards and some of the material conditions surrounding Japanese artists in the nineteenth century, in order to renew our assumptions about what artistic ?Ä?????realism?Ä????? is and what it meant.",https://www.coursera.org/learn/visual-literary-culture-in-japan,The University of Tokyo,24,QS 100 University,Arts and Humanities,Music and Art,Beginner Level,30,5,18650,9.833601425
Prepare for the EMT Certification Test,Welcome to your final course in Become and EMT!  Prepare for the National Registry exam.,https://www.coursera.org/learn/prepare-emt-certification-test,University of Colorado System,230,Other university,Health,Patient Care,Beginner Level,11,1,7621,8.938662874
The GRC Approach to Managing Cybersecurity,"Managing cybersecurity is about managing risk, specifically the risk to information assets of valued by an organization.  This course examines the role of Governance, Risk Management, and Compliance (GRC) as part of the Cybersecurity management process, including key functions of planning, policies, and the administration of technologies to support the protection of critical information assets.",https://www.coursera.org/learn/grc-approach-to-managing-cybersecurity,University System of Georgia,505,Other university,Information Technology,Security,Beginner Level,10,1,4504,8.41272117
Privacy Law and HIPAA,What does it take to comply with privacy laws?,https://www.coursera.org/learn/privacy-law-hipaa,University of Pennsylvania,16,QS 100 University,Business,Business Essentials,Unknown Level,11,1,2298,7.739794458
Oceanography: a key to better understand our world,"The course for a round the world regatta leads the boats through the Mediterranean Sea and the Atlantic, Southern Indian and South Pacific Oceans. On their voyage, the skippers come across a large variety of oceanographic situations: strong currents, floating ice, wave formations of every kind and biological diversity.",https://www.coursera.org/learn/oceanography,Universitat de Barcelona,183,Other university,Physical Science and Engineering,Environmental Science and Sustainability,Unknown Level,29,1,17008,9.741439101
Getting Started on Mainframe with z/OS Commands and Panels,"Getting Started with the IBM Mainframe with z/OS Commands and Panels is a mostly hands-on in an IBM Mainframe z/OS Environment. A total of seven labs will provide live access to an IBM Z server. The labs are designed to teach you the fundamental practical skills to navigate and work in a z/OS environment. This includes the use of ISPF/PDF dialogs, and TSO/E commands.",https://www.coursera.org/learn/z-commands-and-panels,IBM,42,Company,Information Technology,Data Management,Intermediate Level,15,1,6200,8.732304571
Health Concepts in Chinese Medicine,Course Overview: https://youtu.be/L0-cZt1Hw7c,https://www.coursera.org/learn/health-concepts-chinese-medicine,The Hong Kong University of Science and Technology,27,QS 100 University,Health,Patient Care,Beginner Level,11,2,17996,9.79790479
Dairy Production and Management,"With the world's first MOOOOO-C, you will gain a broad and comprehensive understanding of all aspects of dairy management such as genetics, nutrition, reproduction, animal health, farm economics, and sustainability of dairy production systems. There's something here for everyone whether you are just looking for the basics or have years of experience in the dairy industry.",https://www.coursera.org/learn/dairy-production,The Pennsylvania State University,101,Other university,Health,Animal Health,Unknown Level,76,5,38694,10.56343983
Investments II: Lessons and Applications for Investors,"In this course, you will start by reviewing the fundamentals of investments, including the trading off of return and risk when forming a portfolio, asset pricing models such as the Capital Asset Pricing Model (CAPM) and the 3-Factor Model, and the efficient market hypothesis.  You will be introduced to the two components of stock returns ?Ä????? dividends and capital gains ?Ä????? and will learn how each are taxed and the incentives provided to investors from a realization-based capital gains tax.  You will examine the investment decisions (and behavioral biases) of participants in defined-contribution (DC) pension plans like 401(k) plans in the U.S. and will learn about the evidence regarding the performance of individual investors in their stock portfolios.  The course concludes by discussing the evidence regarding the performance of actively-managed mutual funds. You will learn about the fees charged to investors by mutual funds and the evidence regarding the relation between fees charged and fund performance.  Segments of the portfolios of mutual funds that may be more likely to outperform and examples of strategies designed to ?Ä?????earn alpha?Ä????? will also be introduced.",https://www.coursera.org/learn/investments-applications,University of Illinois at Urbana-Champaign,82,QS 100 University,Business,Finance,Unknown Level,20,5,22440,10.01860036
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women","This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.",https://www.coursera.org/learn/10k-women-2,Goldman Sachs,193,Company,Business,Entrepreneurship,Unknown Level,4,1,19139,9.859483417
Grammar and Punctuation,Course 1: Grammar and Punctuation,https://www.coursera.org/learn/grammar-punctuation,"University of California, Irvine",210,Other university,Language Learning,Learning English,Unknown Level,17,8,616612,13.33199526
Using Machine Learning in Trading and Finance,"This course provides the foundation for developing advanced trading strategies using machine learning techniques. In this course, you?Ä?????ll review the key components that are common to every trading strategy, no matter how complex. You?Ä?????ll be introduced to multiple trading strategies including quantitative trading, pairs trading, and momentum trading. By the end of the course, you will be able to design basic quantitative trading strategies, build machine learning models using Keras and TensorFlow, build a pair trading strategy prediction model and back test it, and build a momentum-based trading model and back test it.",https://www.coursera.org/learn/machine-learning-trading-finance,New York Institute of Finance,1500,Other university,Data Science,Machine Learning,Intermediate Level,19,1,14356,9.571923252
Analysis for Business Systems,"Most often, organizations acquire information systems as part of a larger focus on process improvement and efficiency. These organizations need to invest in the right system to meet their needs: right functionality, right size, and for the right price. The business systems analyst role in most organizations is responsible for translating the organization?Ä?????s needs into requirements, which are then used to select or build the right system for the organization.",https://www.coursera.org/learn/analysis-for-business-systems,University of Minnesota,177,Other university,Information Technology,Data Management,Beginner Level,9,5,15688,9.660651368
Power and Sample Size for Multilevel and Longitudinal Study Designs,"Power and Sample Size for Longitudinal and Multilevel Study Designs, a five-week, fully online course covers innovative, research-based power and sample size methods, and software for multilevel and longitudinal studies.  The power and sample size methods and software taught in this course can be used for any health-related, or more generally, social science-related (e.g., educational research) application.  All examples in the course videos are from real-world studies on behavioral and social science employing multilevel and longitudinal designs. The course philosophy is to focus on the conceptual knowledge to conduct power and sample size methods. The goal of the course is to teach and disseminate methods for accurate sample size choice, and ultimately, the creation of a power/sample size analysis for a relevant research study in your professional context.",https://www.coursera.org/learn/power-sample-size,University of Florida,162,Other university,Data Science,Probability and Statistics,Intermediate Level,24,1,3677,8.209852481
Fundamentals of Social Media Advertising,"This course takes a deep dive into paid advertising on social media. Learn how to start advertising on platforms like Facebook and Instagram by developing effective ads. Learn how to work with design teams by capturing the essence of your ad campaign in a creative brief, and understand how privacy policies may affect your ads. Complete the course with a project where you will produce a creative brief with assets you would deliver to a design team for your ad campaign. You?Ä?????ll also create your first social media ad.",https://www.coursera.org/learn/social-media-advertising-fundamentals,Facebook,86,Company,Business,Marketing,Beginner Level,9,1,29389,10.28837573
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,"This course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. While the course has been developed with North American culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. Nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world.",https://www.coursera.org/learn/nonprofit-gov-2,University at Buffalo,346,Other university,Business,Leadership and Management,Unknown Level,12,1,5631,8.636042325
Chicken Behaviour and Welfare,"This course explains the general principles of chicken behaviour and welfare, and the behavioural and physiological indicators that can be used to assess welfare in chickens kept in hobby flocks through to commercial farms. The focus is primarily on laying hens and meat chickens (broilers) although many of the principles are relevant to other types of poultry. The course is likely to be of interest to people who own chickens as pets or keep a small hobby flock, commercial egg and chicken meat producers, veterinarians and vet nurses.",https://www.coursera.org/learn/chickens,The University of Edinburgh,20,QS 100 University,Health,Animal Health,Unknown Level,10,5,28156,10.24551575
Building Fintech Startups in Emerging Markets,"Starting a small business in an emerging market can be very rewarding. Many of entrepreneurship opportunities in emerging markets arise out of necessity, or the drive to solve a real need or a social problem. Thus emerging markets often offer huge opportunities for disruptive innovation. Entrepreneurship has contributed to economic growth and been able to respond to social problems, helping some communities prosper. With the rise of fintech, financial solutions using technologies such as the cloud, blockchain and machine learning have by-passed or partnered with established financial institutions to serve new markets.",https://www.coursera.org/learn/building-fintech-startups,University of Cape Town,220,Other university,Business,Entrepreneurship,Beginner Level,18,1,2895,7.97074039
